episode_index,length,action_norm_mean,action_vel_mean,action_acc_mean,action_jerk_max,has_nan
0,338,0.3600439131259918,0.009091755375266075,0.016313955187797546,2.000335693359375,False
1,256,0.38530129194259644,0.009981472976505756,0.0188756063580513,2.000037908554077,False
2,322,0.32948389649391174,0.009981963783502579,0.017247814685106277,2.0,False
3,286,0.36667153239250183,0.010389406234025955,0.018161391839385033,2.0,False
4,216,0.4037109911441803,0.012289375066757202,0.022897208109498024,2.000227451324463,False
5,265,0.3610605299472809,0.010184020735323429,0.018696332350373268,2.0003342628479004,False
6,269,0.37144213914871216,0.010111303068697453,0.018923867493867874,2.0001637935638428,False
7,206,0.40308308601379395,0.01288873702287674,0.02386483922600746,2.0,False
8,220,0.33726295828819275,0.012937216088175774,0.023923592641949654,2.000018835067749,False
9,222,0.3822624385356903,0.012376873753964901,0.022958902642130852,2.0,False
10,210,0.3834272623062134,0.011475540697574615,0.021922748535871506,2.0,False
11,228,0.35714396834373474,0.012228514067828655,0.02191183716058731,2.0,False
12,202,0.4496766924858093,0.012342327274382114,0.022910112515091896,2.0000367164611816,False
13,222,0.333534836769104,0.01225103810429573,0.022683853283524513,2.000101089477539,False
14,208,0.3926078677177429,0.011797672137618065,0.022607965394854546,2.0,False
15,260,0.33520403504371643,0.010820585303008556,0.019426127895712852,2.0,False
16,268,0.3530009686946869,0.010409785434603691,0.01916949823498726,2.0,False
17,229,0.34346452355384827,0.010477244853973389,0.02002582512795925,2.0,False
18,231,0.34321093559265137,0.011053022928535938,0.020918885245919228,2.000063419342041,False
19,246,0.3580969572067261,0.010723014362156391,0.01946120709180832,2.0,False
20,249,0.33610787987709045,0.01109346468001604,0.019528277218341827,2.0,False
21,259,0.40074798464775085,0.010903210379183292,0.019705569371581078,2.000213623046875,False
22,228,0.34068167209625244,0.01180956233292818,0.02180618979036808,2.0003693103790283,False
23,232,0.35902827978134155,0.010856656357645988,0.020294755697250366,2.0,False
24,219,0.31642478704452515,0.011520729400217533,0.02152721956372261,2.0,False
25,262,0.331225723028183,0.010200591757893562,0.019262321293354034,2.0,False
26,241,0.3678067922592163,0.010573170147836208,0.019744688645005226,2.0,False
27,208,0.3347552716732025,0.01184124406427145,0.022286739200353622,2.0,False
28,248,0.28888460993766785,0.011337985284626484,0.020960353314876556,2.0,False
29,389,0.20319317281246185,0.00681984843686223,0.012433411553502083,2.0,False
30,191,0.3603169620037079,0.013737563043832779,0.02549004927277565,2.0,False
31,223,0.39417359232902527,0.011288580484688282,0.02111748233437538,2.0,False
32,247,0.3669672906398773,0.010731353424489498,0.019921381026506424,2.0,False
33,222,0.3433394432067871,0.011656849645078182,0.021608946844935417,2.0,False
34,214,0.3697769045829773,0.012139886617660522,0.02273285575211048,2.000203847885132,False
35,265,0.33029842376708984,0.01020769216120243,0.019116908311843872,2.000030040740967,False
36,264,0.32486283779144287,0.010233137756586075,0.01904209330677986,2.000020742416382,False
37,266,0.4065563678741455,0.010698948986828327,0.01986323855817318,2.000037670135498,False
38,284,0.3578786849975586,0.009814337827265263,0.018052665516734123,2.0001423358917236,False
39,298,0.2713885009288788,0.008949092589318752,0.016650747507810593,2.0000219345092773,False
40,300,0.3095761835575104,0.009010396897792816,0.016902219504117966,2.0,False
41,266,0.2960033714771271,0.00983472540974617,0.018615007400512695,2.000244140625,False
42,282,0.3217546343803406,0.00955253280699253,0.017865752801299095,2.0001370906829834,False
43,325,0.3477279543876648,0.008737590163946152,0.015808865427970886,2.0000972747802734,False
44,296,0.36114150285720825,0.009271485731005669,0.01726159080862999,2.0,False
